"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 02 20:32:50 GMT 2023","Sun Apr 02 20:32:52 GMT 2023","2228","","SelenideIssueNameTest","","SelenideIssueNameTest","issueHasCorrectTextTest","Issue number to issue name correct mapping",""
"passed","Sun Apr 02 20:32:48 GMT 2023","Sun Apr 02 20:32:50 GMT 2023","2221","","LambdaIssueNameTest","","LambdaIssueNameTest","issueHasCorrectTextTest","Issue number to issue name correct mapping",""
"passed","Sun Apr 02 20:32:42 GMT 2023","Sun Apr 02 20:32:45 GMT 2023","2521","","IssueNameTestWithAttachments","","IssueNameTestWithAttachments","IssueHasCorrectTextTestSource","Issue number to issue name correct mapping - lambda with attachments",""
"passed","Sun Apr 02 20:32:35 GMT 2023","Sun Apr 02 20:32:42 GMT 2023","6919","","AnnotatedIssueNameTest","","AnnotatedIssueNameTest","issueHasCorrectTextTest","Issue number to issue name correct mapping",""
"passed","Sun Apr 02 20:32:45 GMT 2023","Sun Apr 02 20:32:48 GMT 2023","2811","","IssueNameTestWithAttachments","","IssueNameTestWithAttachments","IssueHasCorrectTextTestScreenshot","Issue number to issue name correct mapping - annotated with attachments",""
